Species,Black_proportion,Orange_proportion,Ratio_orange/black
guepe,83.4328689485013,0.0,0.0
frelon,67.02602382674435,0.0,0.0
frelon,60.41406700747361,0.0,0.0
frelon,79.52164323132065,0.20264681555004135,0.25483227875530906
frelon,56.42762350012941,0.4944961150667129,0.8763369505816222
guepe,89.42875771503086,0.0,0.0
frelon,65.55056269137471,0.06521652682228496,0.0994904149478282
frelon,16.894022605676223,0.0,0.0
frelon,70.50655192646195,0.0871219529541454,0.1235657546337158
guepe,86.47623724559394,0.0,0.0
guepe,82.94225416622626,0.0,0.0
frelon,46.26496079240611,0.0,0.0
frelon,75.98208898345455,0.053987106608656986,0.07105241160244086
guepe,72.69762146527586,0.0,0.0
frelon,78.83324942017383,0.8187723367201236,1.0386129491582212
frelon,74.42971588573207,0.1100012222358026,0.14779207595616994
frelon,75.87966767095774,0.2875924404272802,0.3790112018866336
frelon,73.57025182395856,0.3051951502820398,0.41483499473716795
guepe,82.09769971558305,0.0,0.0
frelon,68.05511461045145,0.0,0.0
frelon,38.622632543615495,0.19007535129997966,0.49213463397486606
frelon,67.15042363157363,0.004589724524734025,0.006834989679165585
frelon,74.3234241456007,1.0308114394101908,1.386926734417962
guepe,85.54148433187466,0.0,0.0
frelon,73.90470974808323,0.9734392113910186,1.3171545016672843
frelon,51.24140870584475,0.0,0.0
frelon,63.894297334717905,0.005408445829006577,0.008464676903282602
frelon,75.69397667245718,0.10706562200872123,0.14144536555664844
frelon,61.48089799133517,0.3938558487593541,0.6406149903907752
guepe,86.15954463817856,0.0,0.0
frelon,68.57573474001506,0.20747903189500774,0.30255458826887394
frelon,78.07799102920086,0.058737375278430426,0.07522910682533171
guepe,85.10194040776162,0.0,0.0
frelon,73.87477321851752,0.0,0.0
frelon,79.6421652917746,1.0563814581836912,1.3264097658741
guepe,92.15436861747447,0.0,0.0
frelon,72.45624808105619,0.0,0.0
guepe,84.78473913895655,0.0,0.0
frelon,66.73043130102097,0.017794781680272258,0.026666666666666658
frelon,67.14852983624974,0.0,0.0
frelon,76.33392296116376,0.0,0.0
frelon,77.5985228565567,0.04476192252457243,0.05768398788636255
frelon,69.91641602552386,0.0,0.0
frelon,53.5929219044282,0.365292803644168,0.6816064335801499
guepe,85.86733743245763,0.0,0.0
frelon,79.89306342876556,0.8619302229931509,1.0788548917787677
guepe,77.42942064278374,0.0,0.0
guepe,74.52623391316645,0.0,0.0
frelon,69.91330219463818,0.16795700300723015,0.2402361177843366
frelon,68.60695988953076,0.08987882699959962,0.1310054069504323
frelon,70.53227875160323,0.021376656690893545,0.030307622367025312
guepe,80.4828681642841,0.0,0.0
guepe,72.52791402313474,0.0,0.0
guepe,85.14434057736231,0.0,0.0
frelon,67.01033552263121,0.015274171376202841,0.022793754511263916
frelon,73.34004905395936,0.2496496145760337,0.3404001194386384
frelon,75.24120634410617,0.1213841361644398,0.1613266746539187
guepe,86.78792453560558,0.0,0.0
frelon,11.58431779117671,0.0,0.0
frelon,62.24239723738443,0.32583268352456274,0.5234899328859061
frelon,68.78725479570825,0.2526031462847329,0.36722376410417995
guepe,82.38825530356685,0.0,0.0
frelon,69.07951011864628,0.0010063298145334151,0.0014567703401558744
frelon,58.90371988757268,0.005689641438796527,0.00965922262576308
guepe,81.70045555271808,0.0,0.0
guepe,82.79355936640924,0.0,0.0
frelon,61.40364217009465,0.0,0.0
frelon,74.80707505292631,0.03642240888706777,0.04868845475016737
frelon,74.96232070583055,0.01862796565680513,0.024849771833913164
frelon,78.30630446709964,0.0,0.0
guepe,79.84764720677991,0.0,0.0
frelon,54.495664080328616,0.0,0.0
guepe,76.5166990516998,0.0,0.0
frelon,68.59643292345187,1.4356929212362912,2.0929556538871483
frelon,61.019086195211905,0.6524925530741226,1.069325343527224
guepe,78.66816965863015,0.0,0.0
frelon,72.6865356161488,0.0021137180300147963,0.002907991159706875
frelon,71.74690254576835,0.1263638044751279,0.17612440396924267
frelon,73.09844919960443,0.3999261006118434,0.5471061356169068
guepe,91.28396513586054,0.0,0.0
guepe,81.64352657410629,0.0,0.0
frelon,77.46246553571646,0.0,0.0
frelon,78.63460779429178,0.8993911316152159,1.1437599256144624
frelon,74.10872939112441,0.0,0.0
frelon,68.1458765521181,0.0,0.0
frelon,62.358048167031576,1.3500102273502073,2.164933424045097
frelon,35.85656606343087,0.0,0.0
frelon,74.50179917060655,0.07906669033288691,0.1061272227155574
frelon,87.83308600554875,0.00806503645396477,0.009182230547444584
frelon,71.47840872445839,0.05570050716777579,0.07792633910261668
frelon,60.28919368039882,1.2921947468935242,2.143327299654435
guepe,77.8656767603741,0.0,0.0
guepe,88.13018755669127,0.0,0.0
frelon,83.4277714819012,0.2474835010999267,0.2966440271673992
guepe,76.25780792504392,0.0,0.0
frelon,37.688655575713135,0.017369822827807156,0.04608766898811962
guepe,85.11074044296177,0.0,0.0
guepe,80.50482677922186,0.0,0.0
frelon,80.32516786868939,0.0,0.0
frelon,77.62894397223089,0.0,0.0
guepe,87.10912571793236,0.0,0.0
frelon,78.52198659689708,0.7674653447167906,0.9773891084247202
frelon,74.17034243811486,0.10714236019313454,0.14445444994747111
guepe,80.43048759782056,0.0,0.0
frelon,69.52793493635077,0.27404526166902404,0.3941513032422124
frelon,62.925194843033,0.0,0.0
frelon,41.397129854863294,0.4143437423619921,1.0008996851102114
frelon,71.26710667819412,1.0712101722792735,1.5030919904133502
guepe,83.40493447895166,0.0,0.0
frelon,61.07026062828263,0.0,0.0
frelon,74.71480638412652,0.34604807831475903,0.4631586362355594
guepe,90.8259633038532,0.0,0.0
frelon,77.31193529396708,0.7789637137713618,1.0075594548363958
frelon,75.60342248549034,0.4631125471190092,0.6125550033239419
frelon,79.21409622006058,0.08090462661574066,0.10213412823771126
frelon,76.17784332592919,0.2580958461856671,0.3388069744655231
guepe,82.90993163972657,0.0,0.0
frelon,51.9605371518849,0.0,0.0
frelon,74.63920239544602,0.10463624099239907,0.14018938792784216
frelon,78.2532784240791,0.25556841832248434,0.3265913243116522
guepe,83.47243682158766,0.0,0.0
frelon,60.777242639208524,0.02135281975847588,0.03513291954561424
guepe,81.92129393585228,0.0,0.0
frelon,60.28695224340153,1.0617867855952514,1.7612215348163751
frelon,75.92556481042983,0.050143466027801765,0.06604292790313702
frelon,26.472143282003838,0.01487013416165488,0.056172762451629006
guepe,86.10777415479662,0.0,0.0
frelon,76.16592938326673,0.5051437518001285,0.6632148467042877
frelon,75.54827684420394,0.07974935915693535,0.1055607917059378
guepe,87.45394981579928,0.0,0.0
guepe,90.27116108464432,0.0,0.0
frelon,55.273966120942546,0.0,0.0
guepe,82.29616492724767,0.0006592870469873879,0.0008011151522919906
frelon,78.33058069630705,0.3567417586047433,0.4554310148521114
guepe,85.84602690145665,0.0,0.0
frelon,77.83728986300774,0.7226381442348873,0.9283958183882268
frelon,72.27108299473677,0.2605907867441581,0.36057407187759455
frelon,77.45385400241165,0.3060940543548836,0.395195382201837
frelon,59.56186405240905,0.5645123821028667,0.947774874215063
frelon,67.24597127638056,0.911941204234374,1.3561276414408543
frelon,67.04802126340782,0.0,0.0
frelon,34.23180963104343,0.0,0.0
frelon,63.28664325486374,0.0,0.0
frelon,80.68293787870208,0.11438926326519055,0.14177627423181122
guepe,76.10361516462565,0.0,0.0
frelon,71.41644704516014,0.34216286237548577,0.4791093319989992
frelon,80.70808510638298,0.003404255319148937,0.004217985490129915
frelon,66.16350364963503,0.0,0.0
frelon,78.64499288087327,0.023730422401518743,0.030174104583446486
frelon,84.72062239175179,0.0,0.0
frelon,72.51266124694253,0.4912259334815131,0.6774347059317527
frelon,77.03030703008704,0.1187935851464021,0.15421668396051294
guepe,77.64422895663517,0.0,0.0
guepe,87.61721050173607,0.0,0.0
guepe,72.24347380719922,0.0,0.0
guepe,91.00236400945604,0.0,0.0
frelon,10.888482306216254,0.0,0.0
frelon,75.33999956618875,0.0,0.0
guepe,83.34658046147459,0.0,0.0
frelon,87.12181172926188,0.015319018561544157,0.017583448114175188
frelon,76.81794845466679,0.002053598932128556,0.002673332174889391
guepe,82.206194227873,0.0,0.0
frelon,76.59567358032392,0.7073317441575512,0.9234617454154124
frelon,91.7171581769437,0.0,0.0
frelon,74.97508814962441,0.2797792426797486,0.37316293929712463
frelon,73.44952086652309,0.5195616148839592,0.7073723677900335
guepe,86.33596418087744,0.0,0.0
guepe,87.56383131403385,0.0,0.0
frelon,89.7018361502611,0.03930596889213319,0.043818466353677615
guepe,85.82560014769524,0.0,0.0
